Data,Open,High,Low,Price
2022-05-15,299.63,285.32,268.44,273.46
2022-05-16,273.46,286.37,271.87,283.2
2022-05-17,283.2,271.2,247.33,249.92
2022-05-18,249.92,267.23,251.0,258.51
2022-05-19,258.51,252.74,238.4,242.99
2022-05-20,242.66,250.04,242.46,247.42
2022-05-21,247.42,261.87,253.14,257.55
2022-05-22,257.84,252.68,237.29,238.28
2022-05-23,238.28,247.08,236.3,240.47
2022-05-24,240.47,240.41,231.96,232.67
2022-05-25,232.67,229.47,207.56,208.4
2022-05-26,208.4,203.7,188.98,195.66
2022-05-27,195.81,213.73,199.77,211.59
2022-05-28,211.59,217.12,203.98,214.35
2022-05-29,214.28,234.58,225.16,225.92
2022-05-30,225.92,230.59,216.65,218.16
2022-05-31,218.16,208.97,194.38,194.53
2022-06-01,194.53,200.47,188.31,196.66
2022-06-02,196.73,192.73,181.73,183.94
2022-06-03,183.94,191.9,177.56,187.55
2022-06-04,187.55,194.31,184.32,185.36
2022-06-05,185.36,211.3,190.35,204.23
2022-06-06,204.18,206.2,190.88,191.64
2022-06-07,191.64,194.93,185.57,191.06
2022-06-08,191.06,204.0,189.61,196.88
2022-06-09,196.88,197.08,185.13,186.15
2022-06-10,185.9,179.46,169.54,170.23
2022-06-11,170.44,165.4,153.29,154.64
2022-06-12,154.64,148.07,125.77,147.26
2022-06-13,147.26,163.2,140.88,152.9
2022-06-14,152.9,177.0,151.14,176.77
2022-06-15,176.77,165.18,151.35,154.81
2022-06-16,154.81,164.61,152.95,159.1
2022-06-17,159.1,165.87,144.12,165.87
2022-06-18,165.97,189.44,172.04,177.0
2022-06-19,177.0,187.21,173.6,182.71
2022-06-20,182.71,191.57,178.96,187.62
2022-06-21,187.45,184.38,175.1,177.92
2022-06-22,177.92,208.36,188.98,200.28
2022-06-23,200.14,222.0,211.47,219.69
2022-06-24,219.69,225.5,216.72,221.14
2022-06-25,221.14,214.91,204.76,207.09
2022-06-26,207.44,208.38,199.05,201.55
2022-06-27,201.26,195.98,184.64,186.39
2022-06-28,186.39,179.94,174.21,177.19
2022-06-29,177.19,181.76,168.31,178.32
2022-06-30,178.48,178.24,170.83,174.95
2022-07-01,175.3,180.42,174.91,177.86
